Pages,Percentage of documents,Documents
0,1.62%,784
1,0.36%,175
2,0.58%,281
3,1.08%,523
4,2.18%,1055
5,3.58%,1736
6,4.72%,2288
7,5.45%,2640
8,5.52%,2677
9,5.24%,2538
10,5.27%,2556
11,4.84%,2344
12,4.67%,2264
13,4.10%,1987
14,3.80%,1842
15,3.45%,1673
16,3.24%,1571
17,2.95%,1429
18,2.62%,1268
19,2.51%,1217
20,2.31%,1119
21,1.97%,953
22,1.92%,933
23,1.76%,854
24,1.60%,778
25,1.41%,684
26,1.26%,609
27,1.15%,558
28,0.99%,480
29,1.10%,532
30,1.00%,485
31,0.77%,374
32,0.87%,424
33,0.69%,336
34,0.64%,308
35,0.61%,295
36,0.58%,282
37,0.54%,264
38,0.51%,245
39,0.44%,214
40,0.49%,237
41,0.47%,226
42,0.42%,203
43,0.42%,206
44,0.34%,165
45,0.32%,154
46,0.30%,146
47,0.22%,105
48,0.26%,125
49,0.24%,117
50,0.23%,111
51,0.24%,117
52,0.23%,110
53,0.27%,133
54,0.21%,103
55,0.21%,103
56,0.21%,103
57,0.14%,69
58,0.16%,76
59,0.12%,58
60,0.19%,90
61,0.11%,55
62,0.13%,62
63,0.12%,57
64,0.17%,82
65,0.11%,55
66,0.12%,60
67,0.12%,57
68,0.10%,48
69,0.10%,47
70,0.10%,47
71,0.09%,44
72,0.11%,51
73,0.10%,50
74,0.10%,47
75,0.09%,45
76,0.08%,40
77,0.07%,32
78,0.05%,26
79,0.06%,31
80,0.07%,33
81,0.07%,33
82,0.08%,37
83,0.06%,31
84,0.07%,33
85,0.05%,22
86,0.05%,26
87,0.04%,18
88,0.07%,33
89,0.04%,21
90,0.05%,25
91,0.06%,31
92,0.06%,27
93,0.03%,13
94,0.07%,32
95,0.06%,27
96,0.05%,23
97,0.02%,11
98,0.03%,14
99,0.04%,17
100,0.04%,21
101,0.05%,26
102,0.03%,14
103,0.03%,15
104,0.04%,17
105,0.02%,8
106,0.02%,12
107,0.04%,20
108,0.03%,15
109,0.03%,15
110,0.02%,11
111,0.02%,11
112,0.03%,13
113,0.03%,16
114,0.02%,12
115,0.03%,14
116,0.02%,10
117,0.01%,6
118,0.01%,7
119,0.02%,8
120,0.02%,10
121,0.02%,12
122,0.00%,2
123,0.00%,2
124,0.03%,16
125,0.02%,8
126,0.01%,4
127,0.02%,10
128,0.02%,9
129,0.02%,12
130,0.01%,6
131,0.01%,5
132,0.02%,8
133,0.01%,7
134,0.02%,10
135,0.02%,8
136,0.01%,7
137,0.01%,6
138,0.01%,5
139,0.02%,8
140,0.01%,6
141,0.01%,4
142,0.01%,5
143,0.01%,4
144,0.01%,5
145,0.01%,5
147,0.01%,3
148,0.02%,9
149,0.00%,2
150,0.01%,6
151,0.02%,8
152,0.01%,6
153,0.00%,1
154,0.01%,5
155,0.01%,4
156,0.00%,2
157,0.01%,7
158,0.01%,6
159,0.01%,3
160,0.01%,4
162,0.01%,3
163,0.01%,4
164,0.01%,3
165,0.01%,5
167,0.01%,4
168,0.01%,4
169,0.01%,7
170,0.02%,8
171,0.02%,8
172,0.00%,2
173,0.01%,5
174,0.01%,4
175,0.00%,2
176,0.01%,5
177,0.00%,2
178,0.00%,1
179,0.01%,4
181,0.00%,1
182,0.01%,3
184,0.01%,3
187,0.00%,2
188,0.00%,2
189,0.00%,2
190,0.00%,1
192,0.01%,5
193,0.00%,1
194,0.01%,5
199,0.00%,1
200,0.00%,1
207,0.00%,1
210,0.00%,2
211,0.01%,4
212,0.01%,4
213,0.00%,2
216,0.01%,3
217,0.00%,2
218,0.01%,3
219,0.00%,1
220,0.00%,1
221,0.00%,2
224,0.01%,4
225,0.00%,1
226,0.00%,2
227,0.00%,1
230,0.00%,2
234,0.00%,2
244,0.00%,2
248,0.00%,1
249,0.00%,1
252,0.00%,1
255,0.00%,1
257,0.00%,2
266,0.00%,1
269,0.00%,2
270,0.00%,2
275,0.01%,4
284,0.00%,1
290,0.00%,2
295,0.01%,3
304,0.00%,2
318,0.00%,2
323,0.00%,2
326,0.00%,2
338,0.00%,1
365,0.00%,2
403,0.00%,1
517,0.00%,1
559,0.00%,1
560,0.00%,2
617,0.00%,2
663,0.00%,1
694,0.00%,1
707,0.00%,1
766,0.00%,1
999,0.00%,1
