Pages,Percentage of drafts,Drafts
0,1.99%,779
1,0.02%,9
2,0.28%,110
3,0.90%,351
4,2.10%,821
5,3.66%,1430
6,4.91%,1918
7,5.74%,2245
8,5.84%,2283
9,5.53%,2161
10,5.57%,2178
11,5.09%,1992
12,4.94%,1932
13,4.33%,1695
14,3.98%,1556
15,3.62%,1416
16,3.39%,1324
17,3.02%,1179
18,2.68%,1047
19,2.51%,982
20,2.33%,910
21,1.97%,770
22,1.89%,738
23,1.69%,659
24,1.58%,619
25,1.36%,533
26,1.23%,480
27,1.11%,434
28,0.93%,363
29,1.06%,415
30,0.97%,379
31,0.69%,270
32,0.84%,330
33,0.64%,249
34,0.57%,223
35,0.52%,205
36,0.53%,208
37,0.50%,197
38,0.45%,176
39,0.40%,156
40,0.42%,165
41,0.42%,164
42,0.38%,148
43,0.38%,147
44,0.30%,119
45,0.29%,113
46,0.26%,102
47,0.18%,72
48,0.24%,95
49,0.21%,84
50,0.19%,75
51,0.21%,83
52,0.21%,82
53,0.23%,91
54,0.18%,70
55,0.19%,75
56,0.18%,70
57,0.13%,49
58,0.14%,54
59,0.11%,43
60,0.16%,64
61,0.10%,39
62,0.11%,43
63,0.11%,43
64,0.13%,50
65,0.10%,38
66,0.10%,41
67,0.10%,40
68,0.09%,34
69,0.08%,31
70,0.08%,31
71,0.07%,27
72,0.10%,39
73,0.08%,33
74,0.09%,35
75,0.07%,29
76,0.07%,26
77,0.06%,22
78,0.05%,19
79,0.05%,20
80,0.05%,21
81,0.06%,23
82,0.05%,20
83,0.05%,18
84,0.05%,21
85,0.04%,14
86,0.04%,15
87,0.03%,11
88,0.05%,19
89,0.04%,16
90,0.04%,16
91,0.05%,18
92,0.04%,17
93,0.03%,11
94,0.04%,17
95,0.04%,17
96,0.04%,15
97,0.02%,7
98,0.03%,10
99,0.03%,10
100,0.04%,14
101,0.04%,15
102,0.03%,11
103,0.03%,11
104,0.03%,11
105,0.02%,6
106,0.02%,7
107,0.03%,12
108,0.03%,10
109,0.02%,8
110,0.02%,9
111,0.02%,8
112,0.03%,10
113,0.03%,10
114,0.02%,9
115,0.03%,10
116,0.02%,6
117,0.01%,3
118,0.01%,4
119,0.02%,6
120,0.02%,6
121,0.02%,9
122,0.00%,1
123,0.00%,1
124,0.02%,9
125,0.02%,6
126,0.01%,3
127,0.02%,7
128,0.01%,4
129,0.02%,7
130,0.01%,4
131,0.01%,3
132,0.02%,6
133,0.01%,4
134,0.02%,6
135,0.01%,5
136,0.01%,5
137,0.01%,3
138,0.01%,3
139,0.01%,5
140,0.01%,5
141,0.01%,3
142,0.01%,3
143,0.01%,2
144,0.01%,4
145,0.01%,4
147,0.01%,2
148,0.02%,6
149,0.00%,1
150,0.01%,5
151,0.01%,4
152,0.01%,4
153,0.00%,1
154,0.01%,3
155,0.01%,3
156,0.01%,2
157,0.01%,4
158,0.01%,5
159,0.01%,3
160,0.01%,3
162,0.01%,2
163,0.01%,3
164,0.00%,1
165,0.01%,3
167,0.01%,3
168,0.01%,2
169,0.01%,4
170,0.01%,5
171,0.01%,5
172,0.00%,1
173,0.01%,3
174,0.01%,3
175,0.00%,1
176,0.01%,3
177,0.00%,1
178,0.00%,1
179,0.01%,3
181,0.00%,1
182,0.00%,1
184,0.01%,2
187,0.01%,2
188,0.00%,1
189,0.00%,1
190,0.00%,1
192,0.01%,3
193,0.00%,1
194,0.01%,3
199,0.00%,1
200,0.00%,1
207,0.00%,1
210,0.00%,1
211,0.01%,2
212,0.01%,2
213,0.00%,1
216,0.00%,1
217,0.00%,1
218,0.01%,2
219,0.00%,1
220,0.00%,1
221,0.00%,1
224,0.01%,2
225,0.00%,1
226,0.00%,1
227,0.00%,1
230,0.00%,1
234,0.01%,2
244,0.00%,1
248,0.00%,1
249,0.00%,1
252,0.00%,1
255,0.00%,1
257,0.00%,1
266,0.00%,1
269,0.00%,1
270,0.01%,2
275,0.01%,2
284,0.00%,1
290,0.00%,1
295,0.01%,2
304,0.00%,1
318,0.00%,1
323,0.00%,1
326,0.00%,1
338,0.00%,1
365,0.00%,1
403,0.00%,1
559,0.00%,1
560,0.00%,1
617,0.00%,1
663,0.00%,1
694,0.00%,1
707,0.00%,1
766,0.00%,1
999,0.00%,1
