Words,Percentage of documents,Documents
,19.20%,9306
0 - 499,0.79%,381
500 - 999,2.61%,1263
1000 - 1499,5.74%,2785
1500 - 1999,7.59%,3680
2000 - 2499,7.57%,3668
2500 - 2999,7.09%,3436
3000 - 3499,6.32%,3066
3500 - 3999,5.33%,2583
4000 - 4499,4.62%,2240
4500 - 4999,4.27%,2068
5000 - 5499,3.41%,1654
5500 - 5999,3.05%,1477
6000 - 6499,2.55%,1235
6500 - 6999,2.08%,1008
7000 - 7499,1.89%,917
7500 - 7999,1.60%,775
8000 - 8499,1.47%,714
8500 - 8999,1.19%,579
9000 - 9499,1.12%,545
9500 - 9999,1.02%,494
10000 - 10499,0.80%,390
10500 - 10999,0.67%,325
11000 - 11499,0.63%,303
11500 - 11999,0.66%,321
12000 - 12499,0.57%,274
12500 - 12999,0.51%,247
13000 - 13499,0.41%,201
13500 - 13999,0.47%,227
14000 - 14499,0.35%,171
14500 - 14999,0.36%,175
15000 - 15499,0.27%,130
15500 - 15999,0.27%,132
16000 - 16499,0.22%,106
16500 - 16999,0.27%,133
17000 - 17499,0.13%,64
17500 - 17999,0.20%,99
18000 - 18499,0.20%,96
18500 - 18999,0.14%,70
19000 - 19499,0.14%,67
19500 - 19999,0.11%,55
20000 - 20499,0.11%,53
20500 - 20999,0.10%,50
21000 - 21499,0.09%,43
21500 - 21999,0.08%,40
22000 - 22499,0.09%,45
22500 - 22999,0.10%,48
23000 - 23499,0.07%,34
23500 - 23999,0.08%,37
24000 - 24499,0.06%,30
24500 - 24999,0.06%,28
25000 - 25499,0.05%,23
25500 - 25999,0.05%,23
26000 - 26499,0.07%,32
26500 - 26999,0.08%,38
27000 - 27499,0.05%,25
27500 - 27999,0.03%,13
28000 - 28499,0.04%,18
28500 - 28999,0.03%,15
29000 - 29499,0.03%,16
29500 - 29999,0.03%,15
30000 - 30499,0.03%,15
30500 - 30999,0.02%,12
31000 - 31499,0.03%,15
31500 - 31999,0.03%,13
32000 - 32499,0.05%,25
32500 - 32999,0.04%,20
33000 - 33499,0.03%,15
33500 - 33999,0.02%,12
34000 - 34499,0.02%,11
34500 - 34999,0.02%,9
35000 - 35499,0.03%,14
35500 - 35999,0.03%,13
36000 - 36499,0.01%,6
36500 - 36999,0.01%,6
37000 - 37499,0.01%,5
37500 - 37999,0.01%,6
38000 - 38499,0.02%,10
38500 - 38999,0.02%,10
39000 - 39499,0.01%,3
39500 - 39999,0.02%,8
40000 - 40499,0.01%,5
40500 - 40999,0.00%,2
41000 - 41499,0.01%,6
41500 - 41999,0.00%,2
42000 - 42499,0.01%,6
42500 - 42999,0.02%,8
43000 - 43499,0.01%,5
43500 - 43999,0.01%,3
44000 - 44499,0.02%,8
44500 - 44999,0.01%,4
45000 - 45499,0.01%,6
46000 - 46499,0.01%,5
46500 - 46999,0.00%,2
47000 - 47499,0.00%,2
47500 - 47999,0.00%,2
48500 - 48999,0.00%,2
49000 - 49499,0.01%,7
51000 - 51499,0.01%,6
51500 - 51999,0.00%,1
53000 - 53499,0.01%,3
53500 - 53999,0.00%,2
54000 - 54499,0.01%,5
54500 - 54999,0.00%,2
55000 - 55499,0.01%,4
55500 - 55999,0.01%,6
56000 - 56499,0.00%,2
56500 - 56999,0.01%,4
57000 - 57499,0.00%,1
57500 - 57999,0.01%,3
58500 - 58999,0.00%,2
59000 - 59499,0.00%,1
59500 - 59999,0.00%,2
60500 - 60999,0.00%,2
61500 - 61999,0.00%,2
62000 - 62499,0.00%,1
62500 - 62999,0.01%,6
63000 - 63499,0.00%,2
63500 - 63999,0.00%,2
64500 - 64999,0.01%,3
65000 - 65499,0.00%,1
66000 - 66499,0.00%,2
67500 - 67999,0.00%,2
70000 - 70499,0.00%,1
72000 - 72499,0.01%,5
75500 - 75999,0.00%,2
76000 - 76499,0.00%,1
77000 - 77499,0.00%,2
85500 - 85999,0.00%,2
88000 - 88499,0.00%,1
93500 - 93999,0.00%,2
96500 - 96999,0.00%,2
113500 - 113999,0.00%,2
143000 - 143499,0.00%,1
197500 - 197999,0.00%,2
618000 - 618499,0.00%,1
