Words,Percentage of RFCs,RFCs
,8.21%,770
0 - 499,3.16%,296
500 - 999,4.31%,404
1000 - 1499,5.64%,529
1500 - 1999,6.67%,625
2000 - 2499,5.96%,559
2500 - 2999,5.81%,545
3000 - 3499,5.53%,519
3500 - 3999,4.69%,440
4000 - 4499,4.58%,429
4500 - 4999,4.14%,388
5000 - 5499,3.53%,331
5500 - 5999,3.50%,328
6000 - 6499,3.19%,299
6500 - 6999,2.60%,244
7000 - 7499,2.50%,234
7500 - 7999,2.12%,199
8000 - 8499,2.13%,200
8500 - 8999,1.75%,164
9000 - 9499,1.65%,155
9500 - 9999,1.57%,147
10000 - 10499,1.16%,109
10500 - 10999,1.11%,104
11000 - 11499,1.13%,106
11500 - 11999,1.11%,104
12000 - 12499,0.95%,89
12500 - 12999,0.86%,81
13000 - 13499,0.62%,58
13500 - 13999,0.75%,70
14000 - 14499,0.58%,54
14500 - 14999,0.58%,54
15000 - 15499,0.48%,45
15500 - 15999,0.50%,47
16000 - 16499,0.36%,34
16500 - 16999,0.57%,53
17000 - 17499,0.26%,24
17500 - 17999,0.38%,36
18000 - 18499,0.37%,35
18500 - 18999,0.25%,23
19000 - 19499,0.26%,24
19500 - 19999,0.18%,17
20000 - 20499,0.22%,21
20500 - 20999,0.18%,17
21000 - 21499,0.18%,17
21500 - 21999,0.18%,17
22000 - 22499,0.19%,18
22500 - 22999,0.21%,20
23000 - 23499,0.15%,14
23500 - 23999,0.16%,15
24000 - 24499,0.12%,11
24500 - 24999,0.09%,8
25000 - 25499,0.11%,10
25500 - 25999,0.06%,6
26000 - 26499,0.17%,16
26500 - 26999,0.17%,16
27000 - 27499,0.11%,10
27500 - 27999,0.06%,6
28000 - 28499,0.10%,9
28500 - 28999,0.07%,7
29000 - 29499,0.09%,8
29500 - 29999,0.06%,6
30000 - 30499,0.07%,7
30500 - 30999,0.03%,3
31000 - 31499,0.06%,6
31500 - 31999,0.06%,6
32000 - 32499,0.09%,8
32500 - 32999,0.11%,10
33000 - 33499,0.07%,7
33500 - 33999,0.04%,4
34000 - 34499,0.05%,5
34500 - 34999,0.03%,3
35000 - 35499,0.04%,4
35500 - 35999,0.05%,5
36000 - 36499,0.03%,3
36500 - 36999,0.01%,1
37000 - 37499,0.01%,1
37500 - 37999,0.03%,3
38000 - 38499,0.04%,4
38500 - 38999,0.04%,4
39000 - 39499,0.01%,1
39500 - 39999,0.03%,3
40000 - 40499,0.02%,2
40500 - 40999,0.01%,1
41000 - 41499,0.02%,2
41500 - 41999,0.01%,1
42000 - 42499,0.03%,3
42500 - 42999,0.04%,4
43000 - 43499,0.02%,2
43500 - 43999,0.01%,1
44000 - 44499,0.04%,4
44500 - 44999,0.01%,1
45000 - 45499,0.03%,3
46000 - 46499,0.02%,2
46500 - 46999,0.01%,1
47000 - 47499,0.01%,1
49000 - 49499,0.01%,1
51000 - 51499,0.02%,2
53000 - 53499,0.01%,1
53500 - 53999,0.01%,1
54000 - 54499,0.02%,2
54500 - 54999,0.01%,1
55000 - 55499,0.02%,2
55500 - 55999,0.03%,3
56000 - 56499,0.01%,1
56500 - 56999,0.01%,1
57500 - 57999,0.01%,1
58500 - 58999,0.01%,1
60500 - 60999,0.01%,1
61500 - 61999,0.01%,1
62000 - 62499,0.01%,1
62500 - 62999,0.03%,3
63000 - 63499,0.01%,1
63500 - 63999,0.01%,1
64500 - 64999,0.01%,1
66000 - 66499,0.01%,1
67500 - 67999,0.01%,1
72000 - 72499,0.02%,2
75500 - 75999,0.01%,1
77000 - 77499,0.01%,1
85500 - 85999,0.01%,1
93500 - 93999,0.01%,1
96500 - 96999,0.01%,1
113500 - 113999,0.01%,1
197500 - 197999,0.01%,1
