Words,Percentage of drafts,Drafts
,21.83%,8536
0 - 499,0.22%,85
500 - 999,2.20%,859
1000 - 1499,5.77%,2256
1500 - 1999,7.81%,3055
2000 - 2499,7.95%,3109
2500 - 2999,7.39%,2891
3000 - 3499,6.51%,2547
3500 - 3999,5.48%,2143
4000 - 4499,4.63%,1811
4500 - 4999,4.30%,1680
5000 - 5499,3.38%,1323
5500 - 5999,2.94%,1149
6000 - 6499,2.39%,936
6500 - 6999,1.95%,764
7000 - 7499,1.75%,683
7500 - 7999,1.47%,576
8000 - 8499,1.31%,514
8500 - 8999,1.06%,415
9000 - 9499,1.00%,390
9500 - 9999,0.89%,347
10000 - 10499,0.72%,281
10500 - 10999,0.57%,221
11000 - 11499,0.50%,197
11500 - 11999,0.55%,217
12000 - 12499,0.47%,185
12500 - 12999,0.42%,166
13000 - 13499,0.37%,143
13500 - 13999,0.40%,157
14000 - 14499,0.30%,117
14500 - 14999,0.31%,121
15000 - 15499,0.22%,85
15500 - 15999,0.22%,85
16000 - 16499,0.18%,72
16500 - 16999,0.20%,80
17000 - 17499,0.10%,40
17500 - 17999,0.16%,63
18000 - 18499,0.16%,61
18500 - 18999,0.12%,47
19000 - 19499,0.11%,43
19500 - 19999,0.10%,38
20000 - 20499,0.08%,32
20500 - 20999,0.08%,33
21000 - 21499,0.07%,26
21500 - 21999,0.06%,23
22000 - 22499,0.07%,27
22500 - 22999,0.07%,28
23000 - 23499,0.05%,20
23500 - 23999,0.06%,22
24000 - 24499,0.05%,19
24500 - 24999,0.05%,20
25000 - 25499,0.03%,13
25500 - 25999,0.04%,17
26000 - 26499,0.04%,16
26500 - 26999,0.06%,22
27000 - 27499,0.04%,15
27500 - 27999,0.02%,7
28000 - 28499,0.02%,9
28500 - 28999,0.02%,8
29000 - 29499,0.02%,8
29500 - 29999,0.02%,9
30000 - 30499,0.02%,8
30500 - 30999,0.02%,9
31000 - 31499,0.02%,9
31500 - 31999,0.02%,7
32000 - 32499,0.04%,17
32500 - 32999,0.03%,10
33000 - 33499,0.02%,8
33500 - 33999,0.02%,8
34000 - 34499,0.02%,6
34500 - 34999,0.02%,6
35000 - 35499,0.03%,10
35500 - 35999,0.02%,8
36000 - 36499,0.01%,3
36500 - 36999,0.01%,5
37000 - 37499,0.01%,4
37500 - 37999,0.01%,3
38000 - 38499,0.02%,6
38500 - 38999,0.02%,6
39000 - 39499,0.01%,2
39500 - 39999,0.01%,5
40000 - 40499,0.01%,3
40500 - 40999,0.00%,1
41000 - 41499,0.01%,4
41500 - 41999,0.00%,1
42000 - 42499,0.01%,3
42500 - 42999,0.01%,4
43000 - 43499,0.01%,3
43500 - 43999,0.01%,2
44000 - 44499,0.01%,4
44500 - 44999,0.01%,3
45000 - 45499,0.01%,3
46000 - 46499,0.01%,3
46500 - 46999,0.00%,1
47000 - 47499,0.00%,1
47500 - 47999,0.01%,2
48500 - 48999,0.01%,2
49000 - 49499,0.02%,6
51000 - 51499,0.01%,4
51500 - 51999,0.00%,1
53000 - 53499,0.01%,2
53500 - 53999,0.00%,1
54000 - 54499,0.01%,3
54500 - 54999,0.00%,1
55000 - 55499,0.01%,2
55500 - 55999,0.01%,3
56000 - 56499,0.00%,1
56500 - 56999,0.01%,3
57000 - 57499,0.00%,1
57500 - 57999,0.01%,2
58500 - 58999,0.00%,1
59000 - 59499,0.00%,1
59500 - 59999,0.01%,2
60500 - 60999,0.00%,1
61500 - 61999,0.00%,1
62500 - 62999,0.01%,3
63000 - 63499,0.00%,1
63500 - 63999,0.00%,1
64500 - 64999,0.01%,2
65000 - 65499,0.00%,1
66000 - 66499,0.00%,1
67500 - 67999,0.00%,1
70000 - 70499,0.00%,1
72000 - 72499,0.01%,3
75500 - 75999,0.00%,1
76000 - 76499,0.00%,1
77000 - 77499,0.00%,1
85500 - 85999,0.00%,1
88000 - 88499,0.00%,1
93500 - 93999,0.00%,1
96500 - 96999,0.00%,1
113500 - 113999,0.00%,1
143000 - 143499,0.00%,1
197500 - 197999,0.00%,1
618000 - 618499,0.00%,1
